Year,Country of origin,Country of origin (ISO),Country,Code,Total
2011,Syrian Arab Rep.,SYR,Sweden,SWE,1206
2011,Syrian Arab Rep.,SYR,Switzerland,CHE,1074
2011,Syrian Arab Rep.,SYR,Tunisia,TUN,11
2011,Syrian Arab Rep.,SYR,Turkey,TUR,19
2011,Syrian Arab Rep.,SYR,United Arab Emirates,ARE,37
2011,Syrian Arab Rep.,SYR,Ukraine,UKR,43
2011,Syrian Arab Rep.,SYR,United States of America,USA,373
2011,Syrian Arab Rep.,SYR,Yemen,YEM,42
2012,Syrian Arab Rep.,SYR,Egypt,EGY,12836
2012,Syrian Arab Rep.,SYR,Argentina,ARG,40
2012,Syrian Arab Rep.,SYR,Armenia,ARM,136
2012,Syrian Arab Rep.,SYR,Australia,AUS,204
2012,Syrian Arab Rep.,SYR,Austria,AUT,1675
2012,Syrian Arab Rep.,SYR,Azerbaijan,AZE,5
2012,Syrian Arab Rep.,SYR,Belgium,BEL,355
2012,Syrian Arab Rep.,SYR,Brazil,BRA,42
2012,Syrian Arab Rep.,SYR,Bosnia and Herzegovina,BIH,5
2012,Syrian Arab Rep.,SYR,Bulgaria,BGR,97
2012,Syrian Arab Rep.,SYR,Canada,CAN,533
2012,Syrian Arab Rep.,SYR,Chad,TCD,5
2012,Syrian Arab Rep.,SYR,Cuba,CUB,11
2012,Syrian Arab Rep.,SYR,Cyprus,CYP,139
2012,Syrian Arab Rep.,SYR,Czechia,CZE,54
2012,Syrian Arab Rep.,SYR,Denmark,DNK,1903
2012,Syrian Arab Rep.,SYR,Dominican Rep.,DOM,7
2012,Syrian Arab Rep.,SYR,Ecuador,ECU,11
2012,Syrian Arab Rep.,SYR,Finland,FIN,218
2012,Syrian Arab Rep.,SYR,France,FRA,640
2012,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,1717
2012,Syrian Arab Rep.,SYR,Georgia,GEO,141
2012,Syrian Arab Rep.,SYR,Germany,DEU,18165
2012,Syrian Arab Rep.,SYR,Greece,GRC,20
2012,Syrian Arab Rep.,SYR,Croatia,HRV,12
2012,Syrian Arab Rep.,SYR,Hungary,HUN,86
2012,Syrian Arab Rep.,SYR,India,IND,6
2012,Syrian Arab Rep.,SYR,Indonesia,IDN,5
2012,Syrian Arab Rep.,SYR,Ireland,IRL,38
2012,Syrian Arab Rep.,SYR,Iraq,IRQ,63586
2012,Syrian Arab Rep.,SYR,Italy,ITA,445
2012,Syrian Arab Rep.,SYR,Jordan,JOR,238798
2012,Syrian Arab Rep.,SYR,Kyrgyzstan,KGZ,7
2012,Syrian Arab Rep.,SYR,Kuwait,KWT,15
2012,Syrian Arab Rep.,SYR,Lebanon,LBN,126939
2012,Syrian Arab Rep.,SYR,Lithuania,LTU,5
2012,Syrian Arab Rep.,SYR,Latvia,LVA,17
2012,Syrian Arab Rep.,SYR,Rep. of Moldova,MDA,55
2012,Syrian Arab Rep.,SYR,Malaysia,MYS,5
2012,Syrian Arab Rep.,SYR,Malta,MLT,191
2012,Syrian Arab Rep.,SYR,Netherlands,NLD,1449
2012,Syrian Arab Rep.,SYR,Norway,NOR,565
2012,Syrian Arab Rep.,SYR,New Zealand,NZL,41
2012,Syrian Arab Rep.,SYR,Oman,OMN,7
2012,Syrian Arab Rep.,SYR,Pakistan,PAK,11
2012,Syrian Arab Rep.,SYR,Poland,POL,17
2012,Syrian Arab Rep.,SYR,Qatar,QAT,8
2012,Syrian Arab Rep.,SYR,Romania,ROU,152
2012,Syrian Arab Rep.,SYR,Russian Federation,RUS,53
2012,Syrian Arab Rep.,SYR,Saudi Arabia,SAU,14
2012,Syrian Arab Rep.,SYR,Spain,ESP,32
2012,Syrian Arab Rep.,SYR,Slovakia,SVK,24
2012,Syrian Arab Rep.,SYR,Sweden,SWE,6051
2012,Syrian Arab Rep.,SYR,Switzerland,CHE,1391
2012,Syrian Arab Rep.,SYR,Thailand,THA,10
2012,Syrian Arab Rep.,SYR,Tunisia,TUN,6
2012,Syrian Arab Rep.,SYR,Turkey,TUR,248466
2012,Syrian Arab Rep.,SYR,United Arab Emirates,ARE,16
2012,Syrian Arab Rep.,SYR,Ukraine,UKR,63
2012,Syrian Arab Rep.,SYR,United States of America,USA,1425
2012,Syrian Arab Rep.,SYR,Yemen,YEM,42
2013,Syrian Arab Rep.,SYR,Egypt,EGY,131659
2013,Syrian Arab Rep.,SYR,Argentina,ARG,159
2013,Syrian Arab Rep.,SYR,Armenia,ARM,11090
2013,Syrian Arab Rep.,SYR,Australia,AUS,265
2013,Syrian Arab Rep.,SYR,Austria,AUT,2748
2013,Syrian Arab Rep.,SYR,Azerbaijan,AZE,9
2013,Syrian Arab Rep.,SYR,Belgium,BEL,1987
2013,Syrian Arab Rep.,SYR,Belarus,BLR,35
2013,Syrian Arab Rep.,SYR,Bolivia (Plurinational State of),BOL,5
2013,Syrian Arab Rep.,SYR,Brazil,BRA,333
2013,Syrian Arab Rep.,SYR,Bosnia and Herzegovina,BIH,48
2013,Syrian Arab Rep.,SYR,Bulgaria,BGR,2104
2013,Syrian Arab Rep.,SYR,Canada,CAN,592
2013,Syrian Arab Rep.,SYR,Chad,TCD,15
2013,Syrian Arab Rep.,SYR,Chile,CHL,5
2013,Syrian Arab Rep.,SYR,Cuba,CUB,24
2013,Syrian Arab Rep.,SYR,Cyprus,CYP,316
2013,Syrian Arab Rep.,SYR,Czechia,CZE,149
2013,Syrian Arab Rep.,SYR,Denmark,DNK,3271
2013,Syrian Arab Rep.,SYR,Dominican Rep.,DOM,5
2013,Syrian Arab Rep.,SYR,Ecuador,ECU,11
2013,Syrian Arab Rep.,SYR,Finland,FIN,352
2013,Syrian Arab Rep.,SYR,France,FRA,1474
2013,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,3169
2013,Syrian Arab Rep.,SYR,Georgia,GEO,516
2013,Syrian Arab Rep.,SYR,Germany,DEU,21253
2013,Syrian Arab Rep.,SYR,Greece,GRC,195
2013,Syrian Arab Rep.,SYR,Croatia,HRV,22
2013,Syrian Arab Rep.,SYR,Hungary,HUN,141
2013,Syrian Arab Rep.,SYR,Iceland,ISL,7
2013,Syrian Arab Rep.,SYR,India,IND,18
2013,Syrian Arab Rep.,SYR,Indonesia,IDN,36
2013,Syrian Arab Rep.,SYR,Ireland,IRL,71
2013,Syrian Arab Rep.,SYR,Iraq,IRQ,212809
2013,Syrian Arab Rep.,SYR,Italy,ITA,840
2013,Syrian Arab Rep.,SYR,Jordan,JOR,585304
2013,Syrian Arab Rep.,SYR,Japan,JPN,26
2013,Syrian Arab Rep.,SYR,Kazakhstan,KAZ,7
2013,Syrian Arab Rep.,SYR,Kyrgyzstan,KGZ,14
2013,Syrian Arab Rep.,SYR,Kuwait,KWT,13
2013,Syrian Arab Rep.,SYR,Libya,LBY,16796
2013,Syrian Arab Rep.,SYR,Lebanon,LBN,851284
2013,Syrian Arab Rep.,SYR,Lithuania,LTU,18
2013,Syrian Arab Rep.,SYR,Luxembourg,LUX,5
2013,Syrian Arab Rep.,SYR,Latvia,LVA,33
2013,Syrian Arab Rep.,SYR,Mauritania,MRT,5
2013,Syrian Arab Rep.,SYR,Rep. of Moldova,MDA,139
2013,Syrian Arab Rep.,SYR,Mexico,MEX,13
2013,Syrian Arab Rep.,SYR,Malaysia,MYS,101
2013,Syrian Arab Rep.,SYR,Morocco,MAR,856
2013,Syrian Arab Rep.,SYR,Malta,MLT,776
2013,Syrian Arab Rep.,SYR,Netherlands,NLD,3404
2013,Syrian Arab Rep.,SYR,Niger,NER,6
2013,Syrian Arab Rep.,SYR,Nigeria,NGA,9
2013,Syrian Arab Rep.,SYR,Norway,NOR,1311
2013,Syrian Arab Rep.,SYR,New Zealand,NZL,43
2013,Syrian Arab Rep.,SYR,Oman,OMN,7
2013,Syrian Arab Rep.,SYR,Pakistan,PAK,13
2013,Syrian Arab Rep.,SYR,Peru,PER,5
2013,Syrian Arab Rep.,SYR,Philippines,PHL,7
2013,Syrian Arab Rep.,SYR,Poland,POL,108
2013,Syrian Arab Rep.,SYR,Portugal,PRT,14
2013,Syrian Arab Rep.,SYR,Qatar,QAT,8
2013,Syrian Arab Rep.,SYR,Romania,ROU,932
2013,Syrian Arab Rep.,SYR,South Africa,ZAF,8
2013,Syrian Arab Rep.,SYR,Russian Federation,RUS,1163
2013,Syrian Arab Rep.,SYR,Saudi Arabia,SAU,14
2013,Syrian Arab Rep.,SYR,Serbia and Kosovo: S/RES/1244 (1999),SRB,5
2013,Syrian Arab Rep.,SYR,Spain,ESP,180
2013,Syrian Arab Rep.,SYR,Sudan,SDN,84
2013,Syrian Arab Rep.,SYR,Slovakia,SVK,26
2013,Syrian Arab Rep.,SYR,Slovenia,SVN,9
2013,Syrian Arab Rep.,SYR,Sweden,SWE,17984
2013,Syrian Arab Rep.,SYR,Switzerland,CHE,2012
2013,Syrian Arab Rep.,SYR,Thailand,THA,44
2013,Syrian Arab Rep.,SYR,Tunisia,TUN,164
2013,Syrian Arab Rep.,SYR,Turkey,TUR,585601
2013,Syrian Arab Rep.,SYR,United Arab Emirates,ARE,16
2013,Syrian Arab Rep.,SYR,Ukraine,UKR,167
2013,Syrian Arab Rep.,SYR,United States of America,USA,3802
2013,Syrian Arab Rep.,SYR,Yemen,YEM,54
2014,Syrian Arab Rep.,SYR,Albania,ALB,5
2014,Syrian Arab Rep.,SYR,Egypt,EGY,138381
2014,Syrian Arab Rep.,SYR,Argentina,ARG,233
2014,Syrian Arab Rep.,SYR,Armenia,ARM,14994
2014,Syrian Arab Rep.,SYR,Australia,AUS,302
2014,Syrian Arab Rep.,SYR,Austria,AUT,6653
2014,Syrian Arab Rep.,SYR,Azerbaijan,AZE,7
2014,Syrian Arab Rep.,SYR,Belgium,BEL,2620
2014,Syrian Arab Rep.,SYR,Belarus,BLR,72
2014,Syrian Arab Rep.,SYR,Bolivia (Plurinational State of),BOL,6
2014,Syrian Arab Rep.,SYR,Brazil,BRA,1739
2014,Syrian Arab Rep.,SYR,Bosnia and Herzegovina,BIH,25
2014,Syrian Arab Rep.,SYR,Bulgaria,BGR,8501
2014,Syrian Arab Rep.,SYR,Canada,CAN,705
2014,Syrian Arab Rep.,SYR,Chad,TCD,15
2014,Syrian Arab Rep.,SYR,China,CHN,5
2014,Syrian Arab Rep.,SYR,Chile,CHL,6
2014,Syrian Arab Rep.,SYR,Colombia,COL,5
2014,Syrian Arab Rep.,SYR,Costa Rica,CRI,5
2014,Syrian Arab Rep.,SYR,Cuba,CUB,20
2014,Syrian Arab Rep.,SYR,Cyprus,CYP,1451
2014,Syrian Arab Rep.,SYR,Czechia,CZE,236
2014,Syrian Arab Rep.,SYR,Denmark,DNK,7253
2014,Syrian Arab Rep.,SYR,Ecuador,ECU,13
2014,Syrian Arab Rep.,SYR,Estonia,EST,6
2014,Syrian Arab Rep.,SYR,Finland,FIN,438
2014,Syrian Arab Rep.,SYR,France,FRA,2882
2014,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,4573
2014,Syrian Arab Rep.,SYR,Georgia,GEO,471
2014,Syrian Arab Rep.,SYR,Germany,DEU,40994
2014,Syrian Arab Rep.,SYR,Ghana,GHA,5
2014,Syrian Arab Rep.,SYR,Greece,GRC,3913
2014,Syrian Arab Rep.,SYR,Croatia,HRV,22
2014,Syrian Arab Rep.,SYR,Hungary,HUN,334
2014,Syrian Arab Rep.,SYR,Iceland,ISL,7
2014,Syrian Arab Rep.,SYR,Cote d'Ivoire,CIV,5
2014,Syrian Arab Rep.,SYR,India,IND,27
2014,Syrian Arab Rep.,SYR,Indonesia,IDN,43
2014,Syrian Arab Rep.,SYR,Ireland,IRL,176
2014,Syrian Arab Rep.,SYR,Iraq,IRQ,234196
2014,Syrian Arab Rep.,SYR,Italy,ITA,1144
2014,Syrian Arab Rep.,SYR,Jamaica,JAM,5
2014,Syrian Arab Rep.,SYR,Jordan,JOR,623112
2014,Syrian Arab Rep.,SYR,Japan,JPN,41
2014,Syrian Arab Rep.,SYR,Kazakhstan,KAZ,14
2014,Syrian Arab Rep.,SYR,Kyrgyzstan,KGZ,56
2014,Syrian Arab Rep.,SYR,Rep. of Korea,KOR,503
2014,Syrian Arab Rep.,SYR,Kuwait,KWT,15
2014,Syrian Arab Rep.,SYR,Liberia,LBR,6
2014,Syrian Arab Rep.,SYR,Libya,LBY,18653
2014,Syrian Arab Rep.,SYR,Lebanon,LBN,1147494
2014,Syrian Arab Rep.,SYR,Liechtenstein,LIE,5
2014,Syrian Arab Rep.,SYR,Sri Lanka,LKA,5
2014,Syrian Arab Rep.,SYR,Lithuania,LTU,20
2014,Syrian Arab Rep.,SYR,Luxembourg,LUX,59
2014,Syrian Arab Rep.,SYR,Latvia,LVA,52
2014,Syrian Arab Rep.,SYR,Mauritania,MRT,41
2014,Syrian Arab Rep.,SYR,North Macedonia,MKD,11
2014,Syrian Arab Rep.,SYR,Rep. of Moldova,MDA,186
2014,Syrian Arab Rep.,SYR,Mexico,MEX,13
2014,Syrian Arab Rep.,SYR,Mali,MLI,16
2014,Syrian Arab Rep.,SYR,Malaysia,MYS,447
2014,Syrian Arab Rep.,SYR,Mongolia,MNG,5
2014,Syrian Arab Rep.,SYR,Morocco,MAR,647
2014,Syrian Arab Rep.,SYR,Malta,MLT,1047
2014,Syrian Arab Rep.,SYR,Netherlands,NLD,8692
2014,Syrian Arab Rep.,SYR,Niger,NER,6
2014,Syrian Arab Rep.,SYR,Nigeria,NGA,11
2014,Syrian Arab Rep.,SYR,Norway,NOR,2568
2014,Syrian Arab Rep.,SYR,New Zealand,NZL,48
2014,Syrian Arab Rep.,SYR,Oman,OMN,7
2014,Syrian Arab Rep.,SYR,Pakistan,PAK,16
2014,Syrian Arab Rep.,SYR,Paraguay,PRY,7
2014,Syrian Arab Rep.,SYR,Peru,PER,20
2014,Syrian Arab Rep.,SYR,Philippines,PHL,19
2014,Syrian Arab Rep.,SYR,Poland,POL,240
2014,Syrian Arab Rep.,SYR,Portugal,PRT,15
2014,Syrian Arab Rep.,SYR,Qatar,QAT,14
2014,Syrian Arab Rep.,SYR,Romania,ROU,1278
2014,Syrian Arab Rep.,SYR,South Africa,ZAF,28
2014,Syrian Arab Rep.,SYR,Russian Federation,RUS,1927
2014,Syrian Arab Rep.,SYR,Saudi Arabia,SAU,18
2014,Syrian Arab Rep.,SYR,Serbia and Kosovo: S/RES/1244 (1999),SRB,6
2014,Syrian Arab Rep.,SYR,Spain,ESP,1336
2014,Syrian Arab Rep.,SYR,Sudan,SDN,797
2014,Syrian Arab Rep.,SYR,Slovakia,SVK,40
2014,Syrian Arab Rep.,SYR,Slovenia,SVN,20
2014,Syrian Arab Rep.,SYR,Sweden,SWE,34285
2014,Syrian Arab Rep.,SYR,Switzerland,CHE,5161
2014,Syrian Arab Rep.,SYR,Thailand,THA,82
2014,Syrian Arab Rep.,SYR,Trinidad and Tobago,TTO,8
2014,Syrian Arab Rep.,SYR,Tunisia,TUN,558
2014,Syrian Arab Rep.,SYR,Turkey,TUR,1557899
2014,Syrian Arab Rep.,SYR,United Arab Emirates,ARE,28
2014,Syrian Arab Rep.,SYR,Ukraine,UKR,341
2014,Syrian Arab Rep.,SYR,Uruguay,URY,48
2014,Syrian Arab Rep.,SYR,United States of America,USA,4750
2014,Syrian Arab Rep.,SYR,Yemen,YEM,2276
2015,Syrian Arab Rep.,SYR,Albania,ALB,5
2015,Syrian Arab Rep.,SYR,Antigua and Barbuda,ATG,15
2015,Syrian Arab Rep.,SYR,Egypt,EGY,117635
2015,Syrian Arab Rep.,SYR,Argentina,ARG,276
2015,Syrian Arab Rep.,SYR,Armenia,ARM,16611
2015,Syrian Arab Rep.,SYR,Australia,AUS,301
2015,Syrian Arab Rep.,SYR,Austria,AUT,14894
2015,Syrian Arab Rep.,SYR,Azerbaijan,AZE,8
2015,Syrian Arab Rep.,SYR,Belgium,BEL,4239
2015,Syrian Arab Rep.,SYR,Belarus,BLR,138
2015,Syrian Arab Rep.,SYR,Bolivia (Plurinational State of),BOL,7
2015,Syrian Arab Rep.,SYR,Brazil,BRA,2271
2015,Syrian Arab Rep.,SYR,Bosnia and Herzegovina,BIH,14
2015,Syrian Arab Rep.,SYR,Bulgaria,BGR,13819
2015,Syrian Arab Rep.,SYR,Canada,CAN,1513
2015,Syrian Arab Rep.,SYR,Chad,TCD,6
2015,Syrian Arab Rep.,SYR,China,CHN,14
2015,Syrian Arab Rep.,SYR,Chile,CHL,13
2015,Syrian Arab Rep.,SYR,Cameroon,CMR,15
2015,Syrian Arab Rep.,SYR,Congo,COG,5
2015,Syrian Arab Rep.,SYR,Dem. Rep. of the Congo,COD,7
2015,Syrian Arab Rep.,SYR,Colombia,COL,7
2015,Syrian Arab Rep.,SYR,Costa Rica,CRI,8
2015,Syrian Arab Rep.,SYR,Cuba,CUB,41
2015,Syrian Arab Rep.,SYR,Cyprus,CYP,3110
2015,Syrian Arab Rep.,SYR,Czechia,CZE,365
2015,Syrian Arab Rep.,SYR,Denmark,DNK,12988
2015,Syrian Arab Rep.,SYR,Djibouti,DJI,5
2015,Syrian Arab Rep.,SYR,Ecuador,ECU,17
2015,Syrian Arab Rep.,SYR,Estonia,EST,6
2015,Syrian Arab Rep.,SYR,Ethiopia,ETH,9
2015,Syrian Arab Rep.,SYR,Finland,FIN,565
2015,Syrian Arab Rep.,SYR,France,FRA,5179
2015,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,6496
2015,Syrian Arab Rep.,SYR,Georgia,GEO,475
2015,Syrian Arab Rep.,SYR,Germany,DEU,115604
2015,Syrian Arab Rep.,SYR,Ghana,GHA,47
2015,Syrian Arab Rep.,SYR,Greece,GRC,9101
2015,Syrian Arab Rep.,SYR,Croatia,HRV,23
2015,Syrian Arab Rep.,SYR,Hungary,HUN,476
2015,Syrian Arab Rep.,SYR,Iceland,ISL,37
2015,Syrian Arab Rep.,SYR,Cote d'Ivoire,CIV,20
2015,Syrian Arab Rep.,SYR,India,IND,41
2015,Syrian Arab Rep.,SYR,Indonesia,IDN,61
2015,Syrian Arab Rep.,SYR,Ireland,IRL,109
2015,Syrian Arab Rep.,SYR,Iraq,IRQ,244642
2015,Syrian Arab Rep.,SYR,Italy,ITA,1460
2015,Syrian Arab Rep.,SYR,Jamaica,JAM,5
2015,Syrian Arab Rep.,SYR,Jordan,JOR,628223
2015,Syrian Arab Rep.,SYR,Japan,JPN,59
2015,Syrian Arab Rep.,SYR,Kazakhstan,KAZ,23
2015,Syrian Arab Rep.,SYR,Kenya,KEN,9
2015,Syrian Arab Rep.,SYR,Kyrgyzstan,KGZ,55
2015,Syrian Arab Rep.,SYR,Rep. of Korea,KOR,646
2015,Syrian Arab Rep.,SYR,Kuwait,KWT,14
2015,Syrian Arab Rep.,SYR,Liberia,LBR,6
2015,Syrian Arab Rep.,SYR,Libya,LBY,97
2015,Syrian Arab Rep.,SYR,Lebanon,LBN,1062690
2015,Syrian Arab Rep.,SYR,Liechtenstein,LIE,23
2015,Syrian Arab Rep.,SYR,Sri Lanka,LKA,5
2015,Syrian Arab Rep.,SYR,Lithuania,LTU,23
2015,Syrian Arab Rep.,SYR,Luxembourg,LUX,177
2015,Syrian Arab Rep.,SYR,Latvia,LVA,65
2015,Syrian Arab Rep.,SYR,Mauritania,MRT,215
2015,Syrian Arab Rep.,SYR,North Macedonia,MKD,13
2015,Syrian Arab Rep.,SYR,Rep. of Moldova,MDA,206
2015,Syrian Arab Rep.,SYR,Mexico,MEX,18
2015,Syrian Arab Rep.,SYR,Mali,MLI,82
2015,Syrian Arab Rep.,SYR,Malaysia,MYS,473
2015,Syrian Arab Rep.,SYR,Morocco,MAR,2619
2015,Syrian Arab Rep.,SYR,Malta,MLT,1328
2015,Syrian Arab Rep.,SYR,Netherlands,NLD,16184
2015,Syrian Arab Rep.,SYR,Niger,NER,6
2015,Syrian Arab Rep.,SYR,Nigeria,NGA,32
2015,Syrian Arab Rep.,SYR,Norway,NOR,4121
2015,Syrian Arab Rep.,SYR,New Zealand,NZL,52
2015,Syrian Arab Rep.,SYR,Oman,OMN,7
2015,Syrian Arab Rep.,SYR,Pakistan,PAK,16
2015,Syrian Arab Rep.,SYR,Paraguay,PRY,30
2015,Syrian Arab Rep.,SYR,Peru,PER,29
2015,Syrian Arab Rep.,SYR,Philippines,PHL,36
2015,Syrian Arab Rep.,SYR,Poland,POL,445
2015,Syrian Arab Rep.,SYR,Portugal,PRT,17
2015,Syrian Arab Rep.,SYR,Qatar,QAT,14
2015,Syrian Arab Rep.,SYR,Romania,ROU,1591
2015,Syrian Arab Rep.,SYR,South Africa,ZAF,31
2015,Syrian Arab Rep.,SYR,Russian Federation,RUS,1304
2015,Syrian Arab Rep.,SYR,El Salvador,SLV,5
2015,Syrian Arab Rep.,SYR,Saudi Arabia,SAU,9
2015,Syrian Arab Rep.,SYR,Serbia and Kosovo: S/RES/1244 (1999),SRB,11
2015,Syrian Arab Rep.,SYR,Somalia,SOM,24
2015,Syrian Arab Rep.,SYR,Spain,ESP,1992
2015,Syrian Arab Rep.,SYR,Sudan,SDN,2692
2015,Syrian Arab Rep.,SYR,Slovakia,SVK,47
2015,Syrian Arab Rep.,SYR,Slovenia,SVN,30
2015,Syrian Arab Rep.,SYR,Sweden,SWE,52707
2015,Syrian Arab Rep.,SYR,Switzerland,CHE,8695
2015,Syrian Arab Rep.,SYR,Thailand,THA,95
2015,Syrian Arab Rep.,SYR,Togo,TGO,5
2015,Syrian Arab Rep.,SYR,Trinidad and Tobago,TTO,22
2015,Syrian Arab Rep.,SYR,Tunisia,TUN,499
2015,Syrian Arab Rep.,SYR,Turkey,TUR,2503549
2015,Syrian Arab Rep.,SYR,United Arab Emirates,ARE,36
2015,Syrian Arab Rep.,SYR,Uganda,UGA,6
2015,Syrian Arab Rep.,SYR,Ukraine,UKR,399
2015,Syrian Arab Rep.,SYR,Uruguay,URY,58
2015,Syrian Arab Rep.,SYR,United States of America,USA,5651
2015,Syrian Arab Rep.,SYR,Yemen,YEM,3011
2015,Syrian Arab Rep.,SYR,Zambia,ZMB,6
2016,Syrian Arab Rep.,SYR,Albania,ALB,5
